"~id","~start_node_id","~end_node_id","~relationship_type","name"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917578505664331865","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:89","market_movement","market_movement"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152941295816146967","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:23","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","has_type","is_a"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152936897769635865","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:25","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:16","event","leads_to"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152950091909169178","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","trained_on","outperforms"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917557614943404113","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:81","trained_on","trained_on"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152941295816146971","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:27","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:13","has_type","is_a"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152931400211496988","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:28","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:29","leads_to","causes"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917543321292242968","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:28","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:24","causes","causes"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152932499723124766","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:30","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:31","results_in","leads_to"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152932499723124768","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:32","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:33","results_in","causes"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1155183200025182242","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","leads_to","leads_to"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152932499723124770","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:35","results_in","causes"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917541122268987410","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:18","due_to","due_to"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152933599234752548","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:37","due_to","results_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917542221780615206","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:38","contributes_to","results_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152943494839402535","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:39","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:40","Apple_Inc_","stock_symbol"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152944594351030313","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:41","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:42","outperforms","outperforms"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917557614943404079","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:47","trained_on","outperforms"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917573008106192974","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:78","utilizes_method","utilizes_method"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1155201891722854447","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:47","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","trained_on","outperforms"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917562012989915229","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:48","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:93","underperformed_in","underperformed_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152957788490563632","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:48","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","Time_Period","outperformed_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152955589467308084","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:52","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:53","combined_with","combined_with"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917563112501543004","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:52","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:92","combined_with","combined_with"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152952290932424758","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:54","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:55","is","is"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152953390444052536","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:56","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:57","positive","has"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152954489955680314","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:58","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","underperformed_in","underperformed_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152956688978935866","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:58","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","Investment_Strategy","applied_to"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917563112501542981","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:69","combined_with","gets_a_free_ride_off"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152955589467308092","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:60","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:61","combined_with","believe"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152958888002191422","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:62","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:63","correlated_with","has_volatility"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152954489955680320","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","underperformed_in","underperformed_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917563112501543008","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:96","combined_with","is_largely_an_inefficiency_in_the_market"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152958888002191424","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:65","correlated_with","is_largely_an_inefficiency_in_the_market"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152959987513819202","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:66","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","outperformed_in","outperformed_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152961087025446979","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:67","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:68","applied_to","loved_quant_methods"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152962186537074758","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:70","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:71","uses_algorithm","uses_algorithm"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1155213986350760006","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:70","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:71","uses_algorithm","uses"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152963286048702536","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:72","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:73","resulted_in","is_mentioned_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152963286048702538","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:74","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:75","resulted_in","is_published_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152964385560330316","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:76","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:77","authored_by","authored_by"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152964385560330319","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:79","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:80","authored_by","authored_by"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152966584583585874","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:82","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:83","implemented_in","implemented_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152967684095213652","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:84","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:85","published_in","is_published_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152968783606841430","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:86","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:87","trained_on_data","trained_on_data"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152966584583585882","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:90","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:91","implemented_in","implemented_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152961087025447006","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:94","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:95","applied_to","can_work_over_time"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152972082141724722","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:50","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:51","Correlation_Type","was_convinced_of"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917582903710842979","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:99","tested_outside_training_window","tested_outside_training_window"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152974281164980268","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:44","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:97","achieved_score","achieves_score"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917580704687587371","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:43","negatively_associated_with","negatively_associated_with"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917581804199215202","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:98","achieved_score","achieves_score"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917584003222470756","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:100","achieves_score","achieves_score"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917585102734098537","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:105","reported_by","reported_by"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917587301757354090","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:106","closed_at","erased_value_of"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917585102734098446","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","reported_by","stock_movement"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917588401268981868","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:108","sank_over_9_","market_valuation"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917586202245726312","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:104","intends_to_use","plans_to_use"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917578505664331883","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:107","market_movement","stock_movement"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917563112501543015","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:103","combined_with","gets_a_free_ride_off"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152954489955680357","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:101","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:102","underperformed_in","causes_an_overshoot"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152963286048702548","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:84","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:85","resulted_in","is_published_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917570809082937455","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:90","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:111","resulted_in","resulted_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152944594351030384","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:112","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:113","outperforms","outperforms"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917581804199215218","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:114","achieved_score","achieves_score"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917573008106193011","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:115","utilizes_method","utilizes_method"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917573008106193012","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:116","utilizes_method","utilizes_method"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917589500780609586","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:50","believed_to_be_caused_by","is_believed_to_be_caused_by"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917589500780609653","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:117","believed_to_be_caused_by","believed_to_be_caused_by"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6919841300594294901","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:117","believed_to_be_caused_by","is_believed_to_be_caused_by"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917566411036426358","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:118","correlated_with","is_partially_explained_by"
